VENDOR ID,VENDOR,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE
94338833Z,ABBEY PAVING CO INC,1949 COUNTRY LINE RD,,AURORA,IL,60502
22058477L,ABBEY PUB & RESTAURANT,3420 W GRACE ST,,CHICAGO,IL,60618
56779241,ABERDEEN DEVELOPMENT INC,1651 WEST OGDEN AVENUE,,CHICAGO,IL,60612
22184423L,ABJ COMMUNITY SERVICES INC,1507 E 53RD STREET EFT ST,,CHICAGO,IL,60615
93688664E,ABLE CARD LLC,1300 W OPTICAL DR  600 EPAY,,AZUSA,CA,91702
31325968V,ABLE PROFESSIONAL SERV CORP,180 N WABASH AVE FL 6TH,,CHICAGO,IL,60601
59759916A,"ABNA OF ILLINOIS, INC.",9901 S WESTERN AVE # 1,,CHICAGO,IL,60643
93294785E,ABNE TIRE RECYCLING,1460 RAYMOND ST,,SOUTH ELGIN,IL,60177
22707890P,ABRAHAM LINCOLN BOOK SHOP INC,357 W CHICAGO AVE # 1,,CHICAGO,IL,60610
93910226M,ABRAHAM LINCOLN CENTER,3858 S COTTAGE GROVE EFT,,CHICAGO,IL,60653
93783758T,ABRAHAM LINCOLN CENTRE 01,3858 S COTTAGE GROVE AVE,,CHICAGO,IL,60653
94556466M,ABT SRBI INC,640 N LA SALLE DR STE 640,,CHICAGO,IL,60654
95235670E,ACACIA FINANCIAL GROUP,FOUR GREENTREE CENTER,SUITE #206 13000 LINCOLN DRIVE WEST,MARLTON,NJ,
13110299E,ACACIA PARK CEMETERY & MASOL CORP,7800 W IRVING PARK RD,,CHICAGO,IL,60706-2135
93944609T,ACADEMY OF SCHOLASTIC,ACHIEVEMENT,4651 W MADISON EFT,CHICAGO,IL,60644
94140234E,ACCENTURE,PO BOX 70629,,CHICAGO,IL,60673-0629
94287252P,ACCESS COMMUNITY HEALTH NETWORK,222 N CANAL ST,,CHICAGO,IL,60606
94141262E,"ACCESS ELEVATOR, INC.",1000 W INDUSTRIAL DR,,BENSENVILLE,IL,60106
93427616P,ACCESS LIVING OF METROPOLITAN CHICAGO,614 W ROOSEVELT RD,,CHICAGO,IL,60607
23809601Z,"ACCESS ONE,INC",820 W JACKSON BLVD,FL 4TH,CHICAGO,IL,60607
93568823M,ACCION CHICAGO,1436 W RANDOLPH ST STE 300,,CHICAGO,IL,60607
31292327Z,ACCU WEATHER INC,"ACCUWEATHER SALES & SERVICE, INC",385 SCIENCE PARK RD,STATE COLLEGE,PA,16803-2215
94569908V,ACCURATE BACKGROUND INC,7515 IRVINE CENTER DR,,IRVINE,CA,92618
87960195M,"ACCURATE GROUP, INC.",101 SCHELTER RD,,LINCOLNSHIRE,IL,60069
79007343X,ACCURATE OFFICE SUPPLY,260 GERZEVSKE LN,,CAROL STREAM,IL,60188
85251070X,ACCURINT,PO BOX 538358,,ATLANTA,GA,30353
50080121,ACE USA,DEPT. CH 10123,,PALATINE,IL,600550123
31338754Z,"ACHIEVEGLOBAL, INC",WACHOVIA LOCKBOX SERVICES,,CHARLOTTE,NC,28262
56760381,ACME ROAD CO,3310 WEST END AVENUE,SUITE  #400,NASHVILLE,TN,37203
22082093Z,ACORN GARAGE INC.,417 N HOYNE AVE,,CHICAGO,IL,60612
93651858Z,ACOSTA MEDICAL TESTING CORP,2560 BERNICE AVE,,LANSING,IL,60438
33664551X,APCR,PO BOX 66294,,CHICAGO,IL,60666
31284933M,ACRE DEVELOPMENT LLC,4849 N MILWAUKEE AVE STE 102,,CHICAGO,IL,60630
93472752X,ACTION AUTOMATION INC,5160 W 125TH PL,,ALSIP,IL,60803
82295339M,ACTIVE TRANSPORTATION ALLIANCE 01,9 W HUBBARD ST # 402,,CHICAGO,IL,60654-8484
54339943Z,"ACTIVE TRANSPORTATION ALLIANCE, NFP",9 W HUBBARD ST # 402,,CHICAGO,IL,60610
40791610L,ACTRACE,7 JOYCE CIR,,WESTFORD,MA,
93503887E,ACURA FINANCIAL SERVICES,PO BOX 60001,,CITY OF INDUSTRY,CA,91716
95235442X,ACXIOM CORPORATION,32801 COLLECTION CENTER DR,,CHICAGO,IL,60693-0328
54563022,ADA PROPERTIES INC,5820 W IRVING PARK ROAD,,CHICAGO,IL,60634
93427628A,ADA S MCKINLEY COMM. SERVICE,725 S WELLS EFT,,CHICAGO,IL,60607
94538559Z,ADA S MCKINLEY COMMUNITY SERVICES INC,1359 W WASHINGTON BOULEVARD EFT,,CHICAGO,IL,60607
61610984A,"ADA S. MC KINLEY COMMUNITY SERVICES, INC.",2916 S DEARBORN ST,,CHICAGO,IL,60616
57451242T,ADAM BROOKS,1347 W NORWOOD ST,,CHICAGO,IL,60660
93702000M,ADAM VELARDE,1624 W 18TH ST,,CHICAGO,IL,60608
54611021,ADAPTIVE DIGITAL SYSTEMS INC,20322 SW ACACIA STREET   (EFT),,NEWPORT BEACH,CA,92660
94319511M,ADB AIRFIELD SOLUTIONS,PO BOX 29160,,NEW YORK,NY,10087-9160
53061026,ADDEO MUSIC INTERNATIONAL INC,PO BOX 534,,NEW YORK,NY,10014
36756847H,ADDUCCI DORF LEHNER MITCHELL,150 N MICHIGAN AVE # 2130,,CHICAGO,IL,60601
69532732X,"ADDUS HEALTHCARE, INC.",2401 S PLUM GROVE ROAD EFT,,PALATINE,IL,60067
55774021,ADELE  D.  NICHOLS,4510 NORTH PAULINA STREET,#3E,CHICAGO,IL,60640
22653427Z,ADELSTEIN/LISTON,222 W ONTARIO ST,STE 600,CHICAGO,IL,60610
93835716E,ADONIS DUCRE,437 W DIVISION ST,,CHICAGO,IL,60610
74834061E,ADRIAN ARCE,5231 W PARKER AVE,,CHICAGO,IL,60639
93391679M,ADRIANA MAYA,1911 N LAWNDALE AVE,,CHICAGO,IL,60647
58285095L,ADS LLC,PO BOX 673809,,DETROIT,MI,48267
93826452A,"ADSYSTECH, INC",8401 COLESVILLE ROAD EFT,,SILVER SPRING,MD,20910
93261292V,ADVANCE AUTO CENTER,PO BOX 411342,,CHICAGO,IL,60641
93740372V,ADVANCE COMPUTER TECHNICAL GR.,3566 S PRARIE,,CHICAGO,IL,60653
3706966T,ADVANCE ELECTRICAL. SUPPLY CO,263 N OAKLEY BOULEVARD EFT,,CHICAGO,IL,60612
31313870T,ADVANCED BOILER CONTROL SERV,8730 CLINE AVE,202,CROWN POINT,IN,60462
33675322T,"ADVANCED COMMODITES, INC",MIDWEST QUALITY FOODS,840 W BARTLETT RD STE 3,BARTLETT,IL,60103
93853319E,ADVANCED DISCOVERY,PO BOX 415018,,KANSAS CITY,MO,64141-0518
54287025,ADVANCED DISTRIBUTION SOLUTION,2401 W HASSELL RD STE 1525,,HOFFMAN ESTATES,IL,60169
31321022Z,"ADVANCED SUPPLY COMPANY, INC.",8901 W 192ND ST,,MOKENA,IL,60448
85248972P,ADVANTAGE CHEVROLET,9510 W JOLIET ROAD EFT,,HODGKINS,IL,60525
93860058T,ADVANTAGE MICROFILM SERVICES,630 JOSEPH STREET EFT,,LAKE IN THE HILLS,IL,60156
55774022,"ADVANTAGE SIGN INSTALLATION, INC.",1275 WEST ROOSEVELT ROAD,,CHICAGO,IL,60185
85245565Z,ADVOCATE HEALTH&HOSPITALS CORP,ADVOCATE OCCUP HLTH,205 W TOUHY STE 104,PARK RIDGE,IL,60068
85242515E,ADVOCATE ILLINOIS MASONIC,ADVOCATE HEALTH CARE  (EFT),2025 WINDSOR DR,OAK BROOK,IL,60523
93427944A,AECOM INC,27755 DIEHL RD STE 100,,WARRENVILLE,IL,60555
93130188X,AECOM SERVICES OF ILLINOIS INC,303 E WACKER DRIVE EFT,,CHICAGO,IL,60601
94920393E,AECOM TECHNICAL SERVICES,1178 PAYSPHERE CIR,,CHICAGO,IL,60674
94188617Z,AECOM USA INC,1178 PAYSPHERE CIR,,CHICAGO,IL,60674
31324392P,AERO MARINE SERVICE,3313 LAWRENCE,,CHICAGO HEIGHTS,IL,60411
93568847M,AERO O'HARE LLC,201 W STREET,,ANNAPOLIS,MD,21401
38890082V,AERO SNOW REMOVAL CORP,20 SINTSINK DR EAST,,PORT WASHINGTON,NY,11050-2205
35727670A,"AEROSHELL AEROBATIC TEAM, INC",ALEN HENLEY,576 HENLEY DR,EMELLE,AL,35459
93412476A,AFSCME COUNCIL 31,205 N MICHIGAN AVE STE 2100  EFT,,CHICAGO,IL,60601
93798279V,AFSCME PERSONAL SUPPORT PROGRAM,615 S 2ND ST,,SPRINGFIELD,IL,62704
31327956M,"AFTER-SCHOOL MATTERS, INC.",72 E RANDOLPH ST,,CHICAGO,IL,60601
93454953H,AGAE/M-K SIGNS JOINT VENTURE,4549 N MILWAUKEE AVENUE EFT,,CHICAGO,IL,60630
95032088E,AGAPE MISSIONS INC,840 PLAINFIELD ROAD EFT,,JOLIET,IL,60435
94277328M,AGELESS EYE CARE PC,528 E BOWEN AVE,,CHICAGO,IL,60653
47228761M,AGENCY GROUP,1775 BROADWAY STE 430,,NEW YORK,NY,10019
94184809H,AGILENT TECHNOLOGIES INC,2850 CENTERVILLE RD,,WILMINGTON,DE,
89417072A,AGORA COMM SERVICES CORP,1459 W 79TH STREET EFT ST,,CHICAGO,IL,60620
50089306,AHSHARE CLAYBROOKS,877 E 100TH ST.,,CHICAGO,IL,60628
87871424L,AIDS FOUNDATION OF CHICAGO,200 W JACKSON BLVD  2200  EFT,,CHICAGO,IL,60606
23151615L,AIDS LEGAL COUNCIL OF CHICAGO,180 N MICHIGAN AVE STE 2110,,CHICAGO,IL,60601
93676959H,AIR CHOICE ONE,12300 OLD TESSON RD,,SAINT LOUIS,MO,63128
31316936Z,AIR ONE EQUIPMENT INC,360 PRODUCTION DRIVE EFT,,SOUTH ELGIN,IL,60177-2637
94279111V,AIRAD INC,515 CONSUMERS RD STE 406,,TORONTO,IL,
94099183A,AIRCOMM CHAUFEURRED SERVICES,9806 SOUTHWEST HWY,,OAK LAWN,IL,60453
94371013H,AIRLINES FOR AMERICA,1301 PENNSYLVANIA AVE NW,,WASHINGTON,DC,20004
93977360V,AIRPORT CONTRACTING GROUP,311 S WACKER DR,,CHICAGO,IL,60606
33674881Z,AIRPORT PROPERTY MANAGEMENT GROUP,300 S WACKER DR # 200,,CHICAGO,IL,60606
93427636V,AIRPORTS COUNCIL INT L-NA CONF,PO BOX 79286,,BALTIMORE,MD,21279-0286
51544022,AKELA FAMILY INC,15441 S W 31 LANE,,MIAMI,FL,33185
55783022,AKRAM ZANAYED & ASSOCIATES,& ALMA OLVERA,8550 S HARLEM SUITE G,BRIDGEVIEW,IL,60455
52865043,ALAN E BROOKER PHD,2609 CAPITOL AVE SUITE 2,,SACRAMENTO,CA,95871
52174028,ALAN KADISH,9400 AVERS AVE,,EVANSTON,IL,60203
93602620V,ALAN WARD PROPERTIES LLC,5339 W BELMONT EFT,,CHICAGO,IL,60641
56760223,ALARM WILL SOUND INC,1354 WEST FOSTER AVENUE,APT.  #2W,CHICAGO,IL,60640
94708294L,"ALBANY PARK COMMUNITY CENTER, INC",1945 W WILSON AVE STE 3000 3RD FLOOR EFT,,CHICAGO,IL,60640
93487746H,ALBIN CARLSON & CO,745 S ROHLWING ROAD EFT,,ADDISON,IL,60101
56171023,ALBUKERK & ASSOCIATES,& MARIO NAVIA JR.,1450 W RANDOLPH,CHICAGO,IL,60607
7873300Z,ALCO CONSTRUCTION COMPANY INC,3608 N MILWAUKEE AVE # 1,,CHICAGO,IL,60641
93993932A,ALD. JASON ERVIN,2602 W 16TH ST,,CHICAGO,IL,60608
85250900X,ALDERMAN WILLIE B COCHRAN,6357 S COTTAGE GROVE AVE,,CHICAGO,IL,60637
25940976T,ALDRIDGE ELECTRIC INC,844 E ROCKLAND ROAD EFT,,LIBERTYVILLE,IL,60048
55823027,ALEAH SIEGEL,10 WEST ELM,#1808,CHICAGO,IL,60610
93340536E,ALEJANDRO MIRELES,2816 W 21ST ST,,CHICAGO,IL,60623
93704526A,ALEX FRASER,3532 N NATOMA AVE,,CHICAGO,IL,60634
50091186,ALEX GUALINO,200 NORTH JEFFERSON STREET - #1908,,CHICAGO,IL,60661-1281
93297372Z,ALEXANDER CHEMICAL CORP,16932 COLLECTIONS CENTER DRIVE EFT,,CHICAGO,IL,60693
55849031,ALEXANDER JASON,P O   BOX   #375,,PINOLE,CA,94564
56383035,ALFONSO WATERS,3409 WEST MADISON STREET,,CHICAGO,IL,60624
22547787H,ALFRED BENESCH & COMPANY,205 N MICHIGAN AVE STE 2400,,CHICAGO,IL,60601
95141330X,ALFRED QUIJANO,4256 N RAVENSWOOD EFT,,CHICAGO,IL,60613
94543215X,ALICE L. WILSON,1090 RAINTREE DRIVE EFT,,BOLINGBROOK,IL,60440
3630259Z,"ALIVIO MEDICAL CENTER,INC",2355 S WESTERN AVE # 1,,CHICAGO,IL,60608
22023637H,"ALL CHICAGO, INC.",4100 W BELMONT AVE,,CHICAGO,IL,60641
93849160X,"ALL SAINTS SENIOR HOUSING, NFP",721 N LA SALLE DR,,CHICAGO,IL,60654
93841623H,ALL TIME WRECKING & HAULING INC,5247 W LAKE STREET EFT,,CHICAGO,IL,60644
7069810E,"ALL TOWN BUS SERVICES, INC",2345 W NELSON ST,,CHICAGO,IL,60618
55828024,ALLEN TOUSSAINT,272 ABALON COURT,,NEW ORLEANS,LA,70114
23196481E,ALLIANCE CHICAGO COMMUNITY HEALTH,1276 N CLYBOURN AVE,,CHICAGO,IL,60610
95235410E,"ALLIANCE DEMOLITION SERVICES, INC.",10823 S LANGLEY AVE,,CHICAGO,IL,60628
31336167H,ALLIANCE FOR COMMUNITY PEACE,509 W ELM ST  BSMT,,CHICAGO,IL,60610
72159044L,ALLIANCE FOR WATER EFFICIENCY,PO BOX 804127,,CHICAGO,IL,60680-4127
93427588M,ALLIANCE OF LOCAL SERVICE ORGANIZATIONS,ORGANIZATIONS,2665 W FULLERTON AVENUE EFT,CHICAGO,IL,60647
31326824M,"ALLIANCE REHAB, INC.",2803 BUTTERFIELD RD STE 200,,OAK BROOK,IL,60523
94739285E,"ALLIANCE TRAINING & CONSULTING, INC.",8900 INDIAN CREEK PKWY,,OVERLAND PARK,KS,66210
93275053V,ALLIED APPRAISAL CO,7700 BRUSH HILL ROAD EFT,,BURR RIDGE,IL,60527
31345840E,ALLIED BINDERS & PACKAGING INC,125 WHEELER ST,,LA VERGNE,TN,37086
93681748H,ALLIED BUILDING PRODUCTS,25547 NETWORK PL,,CHICAGO,IL,60673-1255
93561430M,"ALLIED SERVICES GROUP, INC.",14150 S WESTERN AVE,,POSEN,IL,60469
5195191T,ALLIED WASTE TRANSPORTATION INC,2608 S DAMEN,,CHICAGO,IL,60608
95265354V,ALLISON MCJUNKIN,C/O THE VERSCHUUR/IYER GROUP MERRILL GROUP,,CHICAGO,IL,60603
94545022E,ALLOVER MEDIA,16335 36TH AVE NORTH,,PLYMOUTH,MN,55446
94068513M,"ALLSTAR FIRE EQUIPMENT, INC.",12328 ROAD LOWR AZUSA,,ARCADIA,CA,91006
93215925M,ALLY,PO BOX 51014,,CAROL STREAM,IL,60125-1014
56760047,ALOE BLACC TOURING INC C/O NKSFB,10960 WILSHIRE BOULEVARD,5TH  FLOOR,LOS ANGELES,CA,90024
94382358P,ALPHA BAKING CO,36230 TREASURY CENTER,,CHICAGO,IL,60694-6200
51740030,ALSJ INC,Attn: Andy Lee - President,6603 W. Beckwith Rd.,MORTON GROVE,IL,60053
94233154L,ALTA BICYCLE SHARE INC.,711 SE GRAND AVE,,PORTLAND,OR,97214
94125910T,"ALTA PLANNING & DESIGN, INC.",711 SE GRAND AVE,,PORTLAND,OR,97214
23288277Z,ALTA VISTA GRAPHICS CORPORATION,3435 N KIMBALL AVE,,CHICAGO,IL,60618
93841631Z,ALTEP,224 N DESPLAINES ST STE 1N  EFT,,CHICAGO,IL,60661
8509307T,ALTERNATIVE SCHOOLS NETWORK,1807 W SUNNYSIDE AVE STE 1D,,CHICAGO,IL,60640
15692383V,ALTERNATIVES INC,4730 N SHERIDAN ROAD EFT,,CHICAGO,IL,60640
93210575T,ALTOM TRANSPORT INC,PO BOX 518,,ELMHURST,IL,60126
56101021,ALTON LOGAN,312 NORTH MAY STREET,,CHICAGO,IL,60607
95243285M,ALVIN M. FOREMAN,10540 S WESTERN AVE,,CHICAGO,IL,60643
93868385V,"AM TRIO PARK, LLC.",TWO SEAPORT LANE,,BOSTON,MA,
31345957X,AMALGAMATED BANK 6100001161-1,20 N WACKER DR # 722,,CHICAGO,IL,60606
3909476L,AMALGAMATED BANK OF CHICAGO,1 W MONROE ST  10049336,,CHICAGO,IL,60603
93794269H,AMANDA EAVES,3074 W PALMER BLVD,,CHICAGO,IL,60647
37086246Z,AMAZON.COM BILLING DEPARTMENT,PO BOX 80463,,SEATTLE,WA,98108
93745360V,AMBROSE GENTILE,3636 N ORIOLE AVE,,CHICAGO,IL,60634
35130668M,AMEC T & T MEDIA SERVICES,8745 W HIGGINS RD,,CHICAGO,IL,60631
34829388H,AMER. SOCIETY OF COMP. AUTHORS,2690 CUMBERLAND PARKWAY ST  490,,ATLANTA,GA,30339
94347928E,"AMERESCO, INC.",111 SPEEN ST,,FRAMINGHAM,MA,
31288564P,AMERICAN AIRLINES 01,PO BOX 619616,,DALLAS,TX,75261-9616
14851054E,"AMERICAN AIRLINES, INC.",4333 AMON CARTER BLVD,,FORT WORTH,TX,76155
94536004H,AMERICAN APPRAISAL ASSOCIATES INC,411 E WISCONSIN AVE,,MILWAUKEE,WI,53202
31288455M,AMERICAN ARBITRATION ASSOCIATION,13455 NOEL RD STE 1750,,DALLAS,TX,75240
31346004A,AMERICAN ASSOCIATION OF AIRPORT EXEC,601 MADISON ST STE 400,,ALEXANDRIA,VA,22314
45218408A,AMERICAN BUILDING SERVICES LLC,953 SETON CT,,WHEELING,IL,60090
037290,AMERICAN CANCER SOCIETY,77 E MONROE ST,,CHICAGO,IL,60603
22399476L,AMERICAN DEMOLITION CORP.,305 RAMONA AVE,,ELGIN,IL,60120
